DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
The Village Bakery Markethill recalls various own-branded bakery products because of incorrect allergen labelling,Recalled,"Soya, mustard, sesame, celery, milk or milk constituents, wheat (gluten), oats (gluten) or barley (gluten).. These products may contain soya, mustard, sesame, celery, milk or milk constituents, wheat (gluten), oats (gluten) or barley (gluten) making them a possible health risk for anyone with an allergy to soya, mustard, sesame or celery or an allergy or intolerance to milk or milk constituents, wheat (gluten), oats (gluten) or barley (gluten).. . Please see attached customer notice PDF for the allergens in each affected product.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-10-2019-update-1,2019-02-06
Rayan Patisserie recalls Assorted Baklawah due to undeclared allergens ,Recalled,This product contains milk and wheat (gluten) making it a possible health risk for anyone with an allergy or intolerance milk or milk constituents and/or to wheat or gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-11-2019,2019-02-08
Real Handful recalls Choc Orange Chase Protein Bar due to undeclared sesame,Recalled,"This product may contain sesame, making it a possible health risk for anyone with an allergy to sesame.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-12-2019,2019-02-12
Bean & Pod recalls Dark Chocolate Honeycomb Dairy Free due to undeclared milk,Recalled,Milk. This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-13-2019,2019-02-14
Mr Dips recalls Cyprus Jasmine Tzatziki and Cyprus Jasmine Taramasalata due to undeclared allergens,Recalled,"Cyprus Jasmine Tzatziki contains milk, making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents. Cyprus Jasmine Taramasalata contains soya and may contain barley (gluten), oats (gluten), rye (gluten) and wheat (gluten) making it a possible health risk for anyone with an allergy to soya and/or an allergy or intolerance to barley, gluten, oats, rye or wheat.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-14-2019,2019-02-15
Lidl recalls Mister Choc Choco & Caramel Bars because they may contain undeclared Peanuts,Recalled,This product contains peanuts making it a possible health risk for anyone with an allergy to peanuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-15-2019,2019-02-16
Speedibake recalls Takeaway Garlic Slices because of incorrect allergy labelling,Recalled,Milk. This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-16-2019,2019-02-16
Sainsbury?s recalls Mango Sorbet by Sainsbury?s due to undeclared milk,Recalled,Milk. This product contains traces of milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-17-2019,2019-02-19
Lidl recalls Sondey Orange Jaffa Cakes and Sondey Jaffa Minis due to undeclared milk,Recalled,Milk. These products contain milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-18-2019,2019-02-20
Everest Ices recalls four Ice Cream and Kulfi products due to undeclared almonds,Recalled,Nuts. These products contain almonds making it a possible health risk for anyone with an allergy to nuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-19-2019,2019-02-21
Sounas recalls Tandoori Masala Naan and Naan Breads Tandoori Masala due to undeclared celery,Recalled,Celery. These products may contain celery making them a possible health risk for anyone with an allergy to celery.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-20-2019,2019-02-21
Waitrose recalls Waitrose Cooks' Ingredients Dark Chocolate Chips and Cooks' Ingredients Dark Chocolate Chunks because of undeclared milk,Recalled,These products may contain milk or milk constituents making them a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-21-2019,2019-02-26
Asda recalls Sweet Potato & Red Chilli Soup because of undeclared mustard,Recalled,Mustard. This product contains mustard making it a possible health risk for anyone with an allergy to mustard.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-22-2019,2019-02-26
Co-op recalls five soup products because of undeclared mustard,Recalled,Mustard. These products contain mustard making them a possible health risk for anyone with an allergy to mustard.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-23-2019,2019-02-26
Food Innovations UK recalls Create a Cake Home Bake Dark Chocolate Chips due to undeclared milk,Recalled,This product contains milk or milk constituents making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-24-2019,2019-02-27
Boots recalls Boots Shapers Teriyaki Houmous Chips because of undeclared mustard,Recalled,Mustard. This product contains mustard making it a possible health risk for anyone with an allergy to mustard.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-25-2019,2019-02-27
Morrisons recalls two Chinese Takeaway products because of undeclared milk,Recalled,Milk. These products contain milk making them a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-26-2019,2019-03-01
Graze recalls Sea Salt & Vinegar Veg Crunchers because it is labelled vegan and contains milk,Recalled,Milk. This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-27-2019,2019-03-06
Lidl recalls Mister Choc Filled Chocolate Fingers Hazelnut Crisp as allergenic ingredients are not declared in English,Recalled,"This product contains barley (gluten), wheat (gluten), milk, nuts and soya making it a possible health risk for anyone with an allergy or intolerance to barley, gluten, wheat, milk or milk constituents and/or an allergy to nuts and/or soya.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-28-2019,2019-03-12
Premier Foods recalls Hovis Granary Bread Flour because it contains barley,Recalled,Barley (gluten). This product contains malted barley flour (gluten) making it a possible health risk for anyone with an allergy or intolerance to barley (gluten).,https://www.food.gov.uk/news-alerts/alert/fsa-aa-29-2019,2019-03-13
Asda recalls Garlic and Parsley Butter because of undeclared peanut,Recalled,Peanuts. This product may contain very low level of peanut making it a possible health risk for anyone with an allergy to peanuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-30-2019,2019-03-15
Lewis Pies Ltd recalls its Traditional Pasty due to allergen labelling not being clear,Recalled,"Milk. This product contains milk, making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-31-2019,2019-03-16
Clive?s Pies recalls Clive?s Cake Organic Chocolate Brownie due to undeclared milk,Recalled,Milk. This product may contain milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-32-2019,2019-03-21
Caf? Class recalls various sandwiches and bakery products due to undeclared allergens,Recalled,"Mustard, sesame, eggs and milk. These products may contain mustard and/or sesame and/or eggs and/or milk, making them a possible health risk for anyone with an allergy to mustard and/or sesame, and/or an allergy or intolerance to egg and/or milk or milk constituents.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-33-2019,2019-03-21
London Fields Brewery recalls Hackney Hopster Beer due to undeclared allergens,Recalled,"Wheat, Oats and Gluten. This product contains wheat (gluten), oats (gluten) making it a possible health risk for anyone with an allergy or intolerance to oats, wheat or gluten.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-34-2019,2019-03-22
Macadams Bakery recalls various types of bread due to undeclared allergens,Recalled,"The products contain milk and soya, and some contain barley (gluten), making them a possible health risk for anyone with an allergy or intolerance to barley and/or gluten and/or milk or milk constituents and/or an allergy to soya.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-35-2019,2019-03-28
Genius recalls Cinnamon & Raisin Bagels due to undeclared egg,Recalled,Egg. This product contains egg making it a possible health risk for anyone with an allergy or intolerance to egg.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-36-2019,2019-03-30
Genesis Crafty recalls Cheese Scones (4 pack) due to incorrect allergy labelling,Recalled,"Mustard, soya. This product contains mustard and soya making it a possible health risk for anyone with an allergy to mustard and/or soya.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-37-2019,2019-03-31
