RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
14,Various Snacking Pockets - due to undeclared nuts and sulphites.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16687/lidl-recalls-alesto-snacking-pockets-range-due-to-undeclared-nuts-and-sulphites,2017-11-10
15,Seed and Grain Sliced Pan - due to undeclared soya (NI only).,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/northern-ireland/news-updates/news/2017/16700/lidl-recalls-connell-bakery-undeclared-soya,2017-11-16
16,Carrot Cake and Chocolate Fudge Cake- due to undeclared allergens.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16720/cuisine-solutions-recalls-cakes-undeclared-allergens,2017-11-21
17,Decor Kit - due to allergens not being clearly labelled.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16726/dr-oetker-recalls-its-decor-kit-because-of-allergens-not-being-clearly-labelled,2017-11-22
18,Heera Punjabi Wadi - due to undeclared gluten and soya,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16583/p-b-food-ltd-recalls-heera-punjabi-wadi-because-of-undeclared-gluten-and-soya,2017-11-22
19,Shortcrust Chicken Pies - due to undeclared mustard,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16728/birds-eye-recalls-shortcrust-chicken-pies-undeclared-mustard,2017-11-22
20,Vitamin and Mineral Enriched Meal in a Drink - due to undeclared allergens,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16746/nutriplan-recalls-nutriplan-vitamin-and-mineral-enriched-meal-in-a-drink-because-of-undeclared-allergens,2017-11-27
21,Chicken & Mushroom Pie - due to  undeclared fish and mustard,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16757/morrisons-recalls-chicken-mushroom-pie-undeclared-fish-and-mustard,2017-11-29
22,Vegetable Spring Rolls - due to   undeclared prawns,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16766/sainsbury-s-recalls-vegetable-spring-rolls-because-of-undeclared-prawns,2017-12-01
23,Protein Porridge - due to incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16768/fundamental-supplies-ltd-recalls-hench-fuel-protein-porridge-because-of-incorrect-allergen-labelling,2017-12-01
24,Chicken Products - due to undeclared allergens,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16786/kepak-recalls-big-al-s-chicken-products-allergens,2017-12-06
25,Various varieties of cakes - due to undeclared and incorrectly labelled allergens,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16793/ridiculously-rich-by-alana-recalls-cakes-due-to-allergens,2017-12-08
26,Ready Rolled Icing White - due to undeclared nuts (almonds),Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16809/dr-oetker-recalls-its-regal-ice-ready-rolled-icing-white-because-of-undeclared-nuts-almonds,2017-12-19
27,Organic Buckwheat Noodles with Amaranth - due to the possible presence of gluten,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16813/fabulous-foods-uk-recalls-organic-buckwheat-noodles-with-amaranth-due-to-the-possible-presence-of-gluten,2017-12-20
