RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
11,Pasta Bolognese - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15937/asda-recalls-little-dish-pasta-bolognese,2017-01-31
12,Ham ? due to undeclared milk and wheat (Northern Ireland only),Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/northern-ireland/news-updates/news/2017/15955/flynn-s-fine-foods-recalls-limerick-cooked-ham,2017-02-04
13,Chocolate Cr?me Biscuits - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15983/poundstretcher-recalls-choc-creme-oreos,2017-02-16
14,Natural Bitter Almond Extract - due to undeclared nuts. (Food Standards Scotland)[1],Recalled,Possible adverse effects to allergy sufferers.,http://www.foodstandards.gov.scot/news/advice-consumers-regarding-certain-almond-extract-products,2017-03-02
15,Chocolate bar- due to undeclared egg. (Northern Ireland only)[2],Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15984/heatons-recalls-toblerones,2017-01-17
16,Frozen 2 Breaded Haddock Fillets - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16000/waitrose-recalls-frozen-2-breaded-haddock-fillets-because-of-incorrect-allergen-labelling,2017-02-24
17,Almond Extract because of undeclared nuts.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16020/uncle-roy-s-recalls-natural-bitter-almond-extract,2017-02-19
18,Whey Protein - due to undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16037/zipvit-recalls-whey-protein-undeclared-milk,2017-03-03
19,Spaghetti Bolognese (frozen) - due to undeclared egg.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16038/tesco,2017-03-03
20,Two varieties of chocolate bars - due to undeclared egg.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16045/seasalt-cornwall-recalls-two-chocolate-bars,2017-03-03
21,Sandwich products due to undeclared allergens.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16048/best-fresh-recalls-six-sandwich-products,2017-03-10
22,Two varieties of chocolate bars - due to undeclared egg.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16056/kernow-chocolate-recall,2017-03-14
23,Two Easter chocolate eggs products - due to undeclared barley.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16058/lindtsprungli-recalls-easter-chocolate-eggs-undeclared-barley,2017-03-14
24,Chicken Chow Mein - due to undeclared allergens.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16055/tesco-recalls-orientalkitchen-chicken-chowmein,2017-03-14
25,Supplement Tablets - due to undeclared lactose.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16065/sunvit-recalls-sunvit-d3-5000iutablets-undeclared-lactose,2017-03-15
26,Assorted pastries and cupcakes - due to undeclared milk (Northern Ireland only).,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16079/craig-foods-recalls-slemish-assorted-pastries-and-cupcakes-because-they-contain-milk-northern-ireland-only,2017-03-22
27,Bakery products - due to undeclared milk (Northern Ireland only)[3].,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16086/homestead-homebakes-recalls-products-due-to-undeclared-milk-n-ireland-only,2017-03-23
28,Vegetarian sushi - due to undeclared allergens.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16107/sainsburysrecallsvegetariansushiproductduetoundeclaredallergens,2017-03-28
29,Chocolate Easter egg - due to   undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16117/thorntons-recalls-its-dark-chocolate-easter-egg-with-a-personalised-iced-message-because-of-undeclared-milk,2017-03-30
