RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
20,Roasted Millet Snack Bar - undeclared peanut in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15468/interlink-extends-recall-of-pop-millet-roasted-millet-snack-bar,2016-09-02
21,All Purpose Seasoning - presence of mustard and celery in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15469/trs-all-purpose-seasoning-recalled,2016-09-02
22,Orange & Milk Chocolate Cookies 150g - undeclared hazelnut in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15471/waitrose-recall-orange-milk-chocolate-cookies,2016-09-02
23,Raisin Milk Chocolate 200g - undeclared hazelnut and almond in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15473/sainsburys-recalls-raisin-milk-chocolate,2016-09-04
24,Multigrain Loaf - inconsistent declaration of allergenic ingredients.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15482/linwoods-multigrain-loaf-recalled,2016-09-07
25,All Purpose Seasoning - presence of mustard and celery.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15488/trs-extends-recall-of-all-purpose-seasoning,2016-09-09
26,Various types of Muesli - incorrect allergens information on product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15511/dorset-cereals-recalling-muesli-range,2016-09-16
27,Tomato & Oregano Gluten-Free Crackers - presence of gluten.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15520/mister-free-d-recalls-tomato-oregano-gluten-free-crackers,2016-09-16
28,Meat Free Soups - undeclared egg in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15541/quorn-foods-is-recalling-meat-free-soups-due-to-undeclared-egg,2016-09-27
29,"2 Sea Bass Fillets with Lemongrass, Lime & Chilli Butter - undeclared mustard in product.",Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15546/morrisons-recalls-sea-bass-fillets-undeclared-mustard,2016-09-28
30,"Peanuts & Raisins - undeclared almonds, brazil nuts, cashews, and walnuts.",Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15551/waitrose-recalls-lovelife-peanuts-raisins,2016-09-30
